sample,rep_1,rep_2,Pass_coverage,hhsubid
103402006,9743.88496137511,9167.99976590978,Pass,103402
103402007,9813.18215563656,4572.50155502792,Pass,103402
103402008,3188.19569942815,2738.51259070996,Pass,103402
103403001,9924.10029094071,8456.00729023844,Pass,103403
103403003,7811.10995552286,4496.26147878139,Pass,103403
103403004,10026.2051633615,7310.23445808113,Pass,103403
103403005,6128.18737250443,4201.4988462696,Pass,103403
103403006,2912.68411196201,1870.63976858509,Pass,103403
103404001,5753.64070494599,2835.59435508143,Pass,103404
103404003,11299.9868240645,4150.00060194629,Pass,103404
103404004,11131.4222653245,3308.66923051199,Pass,103404
103404005,7147.47386549844,1554.54783800956,Pass,103404
103404006,10294.793565863,2171.28605825502,Pass,103404
103404007,12766.7652743872,4322.03467879477,Pass,103404
103404008,12930.3428084139,3890.19660234759,Pass,103404
103404009,5620.90970805605,1780.22980971809,Pass,103404
103404010,2962.4216299368,3620.55549610407,Pass,103404
103501002,7991.78961977059,6609.94990469184,Pass,103501
103501003,9481.20713640772,5301.51576764873,Pass,103501
103501004,8604.33030130756,9186.09216466575,Pass,103501
103501005,7958.41627930308,4533.07925626191,Pass,103501
103501006,7900.54469451226,6692.32431528609,Pass,103501
103501007,9628.48901448015,7112.1776075979,Pass,103501
103501008,4240.03190315353,5018.36200381233,Pass,103501
103502001,6794.09039226833,7709.69976256563,Pass,103502
103502003,5798.77236397686,7316.91696485303,Pass,103502
103502004,8598.64013644116,8128.5247299602,Pass,103502
103502005,6909.85586730428,7677.63297996857,Pass,103502
103502006,7438.79828110892,5027.86322442564,Pass,103502
103502007,8653.60957094606,4467.78349998328,Pass,103502
103502008,9997.51493161221,5627.24499214126,Pass,103502
103502009,5497.18131960004,7290.87349095408,Pass,103502
103503001,7582.68698792763,6727.31378122596,Pass,103503
103503003,6482.1093201351,6004.7115339598,Pass,103503
103503004,10873.8230612313,15279.1369762231,Pass,103503
103503005,11111.351603518,14248.3589271979,Pass,103503
103503006,3395.18095174397,2254.00304317293,Pass,103503
103503007,2485.20847406615,4006.62478681069,Pass,103503
103503008,5442.41995786376,9604.94572450925,Pass,103503
103503009,3467.23245159349,4051.86315754272,Pass,103503
103504007,4900.55165033609,7900.98006888941,Pass,103504
103504008,7942.5958265057,7888.77126040865,Pass,103504
103504009,2201.52753904291,4778.11657693208,Pass,103504
103504010,7972.02514797846,8319.49804367455,Pass,103504
103601002,5563.55720161857,6215.22813764505,Pass,103601
103601003,3633.77610942046,10048.9405410828,Pass,103601
103601004,1128.34886131826,1205.92937163495,Pass,103601
103601005,2006.35638564692,2015.78761328295,Pass,103601
103602001,1259.1432966592,1782.13981874728,Pass,103602
103602003,14435.7772798716,10567.8261044042,Pass,103602
103701002,10686.5844898505,4111.40183259205,Pass,103701
103701004,11725.0267197271,4174.48413202689,Pass,103701
103701005,10448.8273751797,8020.86790623014,Pass,103701
103701006,8949.19482995017,14893.6684279169,Pass,103701
103701007,6874.99946493663,3783.74728288132,Pass,103701
103701008,3749.68183794268,5464.37233722369,Pass,103701
103701009,5060.6873557837,2517.56037855734,Pass,103701
103702006,9491.71313914992,4397.61635956259,Pass,103702
103702007,5662.4302243922,4601.68431261078,Pass,103702
103702008,12660.5391766712,3198.16336153563,Pass,103702
103702009,4577.78085810788,6241.34742333545,Pass,103702
103702010,9899.82085409491,9789.53412701067,Pass,103702
103801002,6320.17907902217,8211.03571548005,Pass,103801
103801003,7720.61963682574,2964.91616225797,Pass,103801
103801004,7432.30468514865,8925.08838578069,Pass,103801
103801005,7996.53857472494,7583.91666387988,Pass,103801
103801006,7093.13567200615,6279.24967394576,Pass,103801
103801007,6538.1191184831,6993.49714075511,Pass,103801
103801010,3541.75912115841,4489.56067953048,Pass,103801
103802003,2883.73176604354,3628.30822994348,Pass,103802
103802004,4657.79129184363,3904.12557268501,Pass,103802
103802005,4627.32036919373,10960.5303146841,Pass,103802
103802006,5537.09855198475,9340.71196869879,Pass,103802
103802007,3588.9945490419,2049.14132361302,Pass,103802
103802008,3715.07497575494,4917.87389225161,Pass,103802
103802009,6138.1526602682,9423.82944855031,Pass,103802
103802010,5504.27351770725,6085.50399625456,Pass,103802
